LogEntry{timestamp=2024-01-01T00:05:48.427, level='ERROR', service='com.example.NotificationService', message='Authentication failed - user: user_6868'}
LogEntry{timestamp=2024-01-01T16:13:12.816, level='ERROR', service='com.example.ShippingService', message='Authentication failed - user: user_5510'}
LogEntry{timestamp=2024-01-01T09:48:06.553, level='ERROR', service='com.example.CustomerService', message='Authentication failed - user: user_8564'}
LogEntry{timestamp=2024-01-01T11:55:35.764, level='ERROR', service='com.example.ShippingService', message='Authentication failed - user: user_8788'}
LogEntry{timestamp=2024-01-01T13:37:53.067, level='ERROR', service='com.example.CustomerService', message='Authentication failed - user: user_9238'}
LogEntry{timestamp=2024-01-01T17:50:59.745, level='ERROR', service='com.example.AuthService', message='Authentication failed - user: user_1161'}
LogEntry{timestamp=2024-01-01T07:04:21.091, level='ERROR', service='com.example.NotificationService', message='Authentication failed - user: user_5904'}
LogEntry{timestamp=2024-01-01T08:21:47.286, level='ERROR', service='com.example.UserService', message='Authentication failed - user: user_1294'}
LogEntry{timestamp=2024-01-01T03:22:47.103, level='ERROR', service='com.example.NotificationService', message='Authentication failed - user: user_4832'}
LogEntry{timestamp=2024-01-01T15:57:57.056, level='ERROR', service='com.example.PaymentService', message='Authentication failed - user: user_2078'}
LogEntry{timestamp=2024-01-02T11:46:28.467, level='ERROR', service='com.example.OrderService', message='Authentication failed - user: user_3713'}
LogEntry{timestamp=2024-01-02T15:58:03.662, level='ERROR', service='com.example.OrderService', message='Authentication failed - user: user_4090'}
LogEntry{timestamp=2024-01-01T08:27:19.178, level='ERROR', service='com.example.AuthService', message='Authentication failed - user: user_3344'}
LogEntry{timestamp=2024-01-02T05:55:50.400, level='ERROR', service='com.example.AuthService', message='Authentication failed - user: user_3048'}
LogEntry{timestamp=2024-01-02T21:44:00.008, level='ERROR', service='com.example.DatabaseService', message='Authentication failed - user: user_8585'}
LogEntry{timestamp=2024-01-01T09:12:52.188, level='ERROR', service='com.example.OrderService', message='Authentication failed - user: user_3342'}
LogEntry{timestamp=2024-01-01T17:36:42.592, level='ERROR', service='com.example.NotificationService', message='Authentication failed - user: user_4698'}
LogEntry{timestamp=2024-01-02T00:03:15.916, level='ERROR', service='com.example.UserService', message='Authentication failed - user: user_6565'}
LogEntry{timestamp=2024-01-01T23:25:40.026, level='ERROR', service='com.example.InventoryService', message='Authentication failed - user: user_8184'}
LogEntry{timestamp=2024-01-02T04:20:35.709, level='ERROR', service='com.example.OrderService', message='Authentication failed - user: user_8440'}
LogEntry{timestamp=2024-01-02T16:58:37.484, level='ERROR', service='com.example.AuthService', message='Authentication failed - user: user_5779'}
LogEntry{timestamp=2024-01-03T02:19:14.522, level='ERROR', service='com.example.UserService', message='Authentication failed - user: user_7081'}
LogEntry{timestamp=2024-01-03T01:52:42.140, level='ERROR', service='com.example.PaymentService', message='Authentication failed - user: user_8404'}
LogEntry{timestamp=2024-01-01T19:03:42.540, level='ERROR', service='com.example.AuthService', message='Authentication failed - user: user_8910'}
LogEntry{timestamp=2024-01-02T18:49:48.044, level='ERROR', service='com.example.UserService', message='Authentication failed - user: user_9166'}
LogEntry{timestamp=2024-01-02T20:47:41.604, level='ERROR', service='com.example.AuthService', message='Authentication failed - user: user_4502'}
LogEntry{timestamp=2024-01-01T15:45:02.728, level='ERROR', service='com.example.OrderService', message='Authentication failed - user: user_5230'}
LogEntry{timestamp=2024-01-01T04:59:58.930, level='ERROR', service='com.example.PaymentService', message='Authentication failed - user: user_3473'}
LogEntry{timestamp=2024-01-01T11:02:10.350, level='ERROR', service='com.example.InventoryService', message='Authentication failed - user: user_9644'}
LogEntry{timestamp=2024-01-01T17:34:08.077, level='ERROR', service='com.example.NotificationService', message='Authentication failed - user: user_4731'}
LogEntry{timestamp=2024-01-01T12:37:22.972, level='ERROR', service='com.example.OrderService', message='Authentication failed - user: user_4400'}
LogEntry{timestamp=2024-01-02T13:45:31.850, level='ERROR', service='com.example.InventoryService', message='Authentication failed - user: user_7785'}
LogEntry{timestamp=2024-01-03T12:08:23.619, level='ERROR', service='com.example.ShippingService', message='Authentication failed - user: user_6486'}
LogEntry{timestamp=2024-01-02T12:18:18.511, level='ERROR', service='com.example.DatabaseService', message='Authentication failed - user: user_8049'}
LogEntry{timestamp=2024-01-02T12:50:29.200, level='ERROR', service='com.example.OrderService', message='Authentication failed - user: user_9808'}
LogEntry{timestamp=2024-01-03T14:50:15.442, level='ERROR', service='com.example.InventoryService', message='Authentication failed - user: user_3194'}
LogEntry{timestamp=2024-01-03T12:14:26.990, level='ERROR', service='com.example.OrderService', message='Authentication failed - user: user_7533'}
LogEntry{timestamp=2024-01-02T06:11:12.360, level='ERROR', service='com.example.NotificationService', message='Authentication failed - user: user_9202'}
LogEntry{timestamp=2024-01-01T16:21:36.040, level='ERROR', service='com.example.PaymentService', message='Authentication failed - user: user_5595'}
LogEntry{timestamp=2024-01-03T18:33:07.556, level='ERROR', service='com.example.ShippingService', message='Authentication failed - user: user_8249'}
LogEntry{timestamp=2024-01-02T18:06:30.663, level='ERROR', service='com.example.UserService', message='Authentication failed - user: user_4339'}
LogEntry{timestamp=2024-01-01T23:44:27.954, level='ERROR', service='com.example.CustomerService', message='Authentication failed - user: user_6183'}
LogEntry{timestamp=2024-01-03T21:09:20.234, level='ERROR', service='com.example.UserService', message='Authentication failed - user: user_5296'}
LogEntry{timestamp=2024-01-02T23:00:56.127, level='ERROR', service='com.example.ShippingService', message='Authentication failed - user: user_3250'}
LogEntry{timestamp=2024-01-03T01:11:15.516, level='ERROR', service='com.example.CustomerService', message='Authentication failed - user: user_6860'}
LogEntry{timestamp=2024-01-01T05:44:39.883, level='ERROR', service='com.example.ReportService', message='Authentication failed - user: user_8944'}
LogEntry{timestamp=2024-01-01T14:12:51.988, level='ERROR', service='com.example.ShippingService', message='Authentication failed - user: user_9785'}
LogEntry{timestamp=2024-01-03T05:21:22.335, level='ERROR', service='com.example.OrderService', message='Authentication failed - user: user_3882'}
LogEntry{timestamp=2024-01-02T07:44:57.024, level='ERROR', service='com.example.ReportService', message='Authentication failed - user: user_3933'}
LogEntry{timestamp=2024-01-01T06:39:24.336, level='ERROR', service='com.example.ShippingService', message='Authentication failed - user: user_3655'}
LogEntry{timestamp=2024-01-02T12:36:31.116, level='ERROR', service='com.example.DatabaseService', message='Authentication failed - user: user_4341'}
LogEntry{timestamp=2024-01-01T18:56:22.278, level='ERROR', service='com.example.CustomerService', message='Authentication failed - user: user_4805'}
LogEntry{timestamp=2024-01-02T19:01:01.956, level='ERROR', service='com.example.CustomerService', message='Authentication failed - user: user_4219'}
LogEntry{timestamp=2024-01-01T10:51:16.191, level='ERROR', service='com.example.ShippingService', message='Authentication failed - user: user_2225'}
LogEntry{timestamp=2024-01-03T04:19:19.990, level='ERROR', service='com.example.ReportService', message='Authentication failed - user: user_1254'}
LogEntry{timestamp=2024-01-02T04:47:29.427, level='ERROR', service='com.example.InventoryService', message='Authentication failed - user: user_8007'}
LogEntry{timestamp=2024-01-03T02:06:55.740, level='ERROR', service='com.example.CustomerService', message='Authentication failed - user: user_5864'}
LogEntry{timestamp=2024-01-03T21:35:10.720, level='ERROR', service='com.example.CustomerService', message='Authentication failed - user: user_7997'}
LogEntry{timestamp=2024-01-03T12:06:14.409, level='ERROR', service='com.example.UserService', message='Authentication failed - user: user_6363'}
LogEntry{timestamp=2024-01-04T07:13:54.314, level='ERROR', service='com.example.NotificationService', message='Authentication failed - user: user_2959'}
LogEntry{timestamp=2024-01-03T04:56:00.480, level='ERROR', service='com.example.AuthService', message='Authentication failed - user: user_5286'}
LogEntry{timestamp=2024-01-03T19:59:13.834, level='ERROR', service='com.example.DatabaseService', message='Authentication failed - user: user_1254'}
LogEntry{timestamp=2024-01-02T18:44:58.241, level='ERROR', service='com.example.UserService', message='Authentication failed - user: user_1098'}
LogEntry{timestamp=2024-01-03T02:28:14.895, level='ERROR', service='com.example.OrderService', message='Authentication failed - user: user_1473'}
LogEntry{timestamp=2024-01-02T22:40:01.845, level='ERROR', service='com.example.DatabaseService', message='Authentication failed - user: user_1833'}
LogEntry{timestamp=2024-01-01T05:10:13.348, level='ERROR', service='com.example.UserService', message='Authentication failed - user: user_2953'}
LogEntry{timestamp=2024-01-01T03:07:50.578, level='ERROR', service='com.example.InventoryService', message='Authentication failed - user: user_1381'}
LogEntry{timestamp=2024-01-04T00:25:08.543, level='ERROR', service='com.example.CustomerService', message='Authentication failed - user: user_6806'}
LogEntry{timestamp=2024-01-01T10:02:19.166, level='ERROR', service='com.example.OrderService', message='Authentication failed - user: user_8366'}
LogEntry{timestamp=2024-01-04T08:10:28.260, level='ERROR', service='com.example.PaymentService', message='Authentication failed - user: user_2999'}
LogEntry{timestamp=2024-01-03T13:34:51.819, level='ERROR', service='com.example.PaymentService', message='Authentication failed - user: user_5323'}
LogEntry{timestamp=2024-01-02T13:46:22.260, level='ERROR', service='com.example.ShippingService', message='Authentication failed - user: user_4470'}
LogEntry{timestamp=2024-01-04T03:07:01.440, level='ERROR', service='com.example.NotificationService', message='Authentication failed - user: user_1689'}
LogEntry{timestamp=2024-01-02T02:13:41.676, level='ERROR', service='com.example.ShippingService', message='Authentication failed - user: user_5048'}
LogEntry{timestamp=2024-01-02T11:34:24.830, level='ERROR', service='com.example.UserService', message='Authentication failed - user: user_9754'}
LogEntry{timestamp=2024-01-03T19:10:49.852, level='ERROR', service='com.example.ShippingService', message='Authentication failed - user: user_2826'}
LogEntry{timestamp=2024-01-03T09:44:26.880, level='ERROR', service='com.example.InventoryService', message='Authentication failed - user: user_2533'}
LogEntry{timestamp=2024-01-02T06:35:21.213, level='ERROR', service='com.example.AuthService', message='Authentication failed - user: user_7942'}
LogEntry{timestamp=2024-01-04T06:35:10.560, level='ERROR', service='com.example.NotificationService', message='Authentication failed - user: user_2994'}
LogEntry{timestamp=2024-01-01T12:49:37.776, level='ERROR', service='com.example.AuthService', message='Authentication failed - user: user_6508'}
LogEntry{timestamp=2024-01-02T10:56:55.028, level='ERROR', service='com.example.CustomerService', message='Authentication failed - user: user_2271'}
LogEntry{timestamp=2024-01-04T17:02:28.856, level='ERROR', service='com.example.ShippingService', message='Authentication failed - user: user_3118'}
LogEntry{timestamp=2024-01-05T00:33:33.840, level='ERROR', service='com.example.AuthService', message='Authentication failed - user: user_5009'}
LogEntry{timestamp=2024-01-04T23:40:02.772, level='ERROR', service='com.example.ReportService', message='Authentication failed - user: user_9562'}
LogEntry{timestamp=2024-01-01T07:39:35.370, level='ERROR', service='com.example.ShippingService', message='Authentication failed - user: user_9183'}
LogEntry{timestamp=2024-01-02T18:43:17.130, level='ERROR', service='com.example.ShippingService', message='Authentication failed - user: user_4338'}
LogEntry{timestamp=2024-01-03T13:35:25.170, level='ERROR', service='com.example.OrderService', message='Authentication failed - user: user_2416'}
LogEntry{timestamp=2024-01-02T19:28:43.696, level='ERROR', service='com.example.AuthService', message='Authentication failed - user: user_5233'}
LogEntry{timestamp=2024-01-05T04:04:08.976, level='ERROR', service='com.example.DatabaseService', message='Authentication failed - user: user_5094'}
LogEntry{timestamp=2024-01-05T02:54:17.208, level='ERROR', service='com.example.InventoryService', message='Authentication failed - user: user_3755'}
LogEntry{timestamp=2024-01-05T10:27:59.300, level='ERROR', service='com.example.AuthService', message='Authentication failed - user: user_4654'}
LogEntry{timestamp=2024-01-03T21:21:07.650, level='ERROR', service='com.example.CustomerService', message='Authentication failed - user: user_9394'}
LogEntry{timestamp=2024-01-01T15:56:11.426, level='ERROR', service='com.example.AuthService', message='Authentication failed - user: user_2358'}
LogEntry{timestamp=2024-01-04T02:42:50.198, level='ERROR', service='com.example.UserService', message='Authentication failed - user: user_7247'}
LogEntry{timestamp=2024-01-03T08:22:55.254, level='ERROR', service='com.example.DatabaseService', message='Authentication failed - user: user_6167'}
LogEntry{timestamp=2024-01-02T04:58:27.331, level='ERROR', service='com.example.PaymentService', message='Authentication failed - user: user_4828'}
LogEntry{timestamp=2024-01-01T04:24:02.874, level='ERROR', service='com.example.AuthService', message='Authentication failed - user: user_5176'}
LogEntry{timestamp=2024-01-01T10:02:28.480, level='ERROR', service='com.example.DatabaseService', message='Authentication failed - user: user_1645'}
LogEntry{timestamp=2024-01-05T04:40:22.764, level='ERROR', service='com.example.OrderService', message='Authentication failed - user: user_4030'}
LogEntry{timestamp=2024-01-06T02:52:10.512, level='ERROR', service='com.example.AuthService', message='Authentication failed - user: user_1612'}
LogEntry{timestamp=2024-01-05T09:18:07.681, level='ERROR', service='com.example.OrderService', message='Authentication failed - user: user_1066'}
LogEntry{timestamp=2024-01-01T03:49:31.329, level='ERROR', service='com.example.CustomerService', message='Authentication failed - user: user_1611'}
LogEntry{timestamp=2024-01-01T08:59:56.612, level='ERROR', service='com.example.ReportService', message='Authentication failed - user: user_2885'}
LogEntry{timestamp=2024-01-02T14:44:16.848, level='ERROR', service='com.example.ReportService', message='Authentication failed - user: user_3335'}
LogEntry{timestamp=2024-01-03T21:00:30.756, level='ERROR', service='com.example.PaymentService', message='Authentication failed - user: user_2378'}
LogEntry{timestamp=2024-01-01T21:27:39.384, level='ERROR', service='com.example.DatabaseService', message='Authentication failed - user: user_8836'}
LogEntry{timestamp=2024-01-05T11:32:14.340, level='ERROR', service='com.example.InventoryService', message='Authentication failed - user: user_6347'}
LogEntry{timestamp=2024-01-03T15:36:02.895, level='ERROR', service='com.example.OrderService', message='Authentication failed - user: user_9686'}
LogEntry{timestamp=2024-01-04T10:15:22.983, level='ERROR', service='com.example.OrderService', message='Authentication failed - user: user_5312'}
LogEntry{timestamp=2024-01-05T01:19:17.085, level='ERROR', service='com.example.NotificationService', message='Authentication failed - user: user_2314'}
LogEntry{timestamp=2024-01-06T01:22:26.076, level='ERROR', service='com.example.UserService', message='Authentication failed - user: user_4518'}
LogEntry{timestamp=2024-01-03T16:01:06.600, level='ERROR', service='com.example.AuthService', message='Authentication failed - user: user_8232'}
LogEntry{timestamp=2024-01-04T13:09:40.708, level='ERROR', service='com.example.UserService', message='Authentication failed - user: user_3597'}
LogEntry{timestamp=2024-01-03T16:58:36.030, level='ERROR', service='com.example.ReportService', message='Authentication failed - user: user_2097'}
LogEntry{timestamp=2024-01-03T02:06:25.064, level='ERROR', service='com.example.InventoryService', message='Authentication failed - user: user_6679'}
LogEntry{timestamp=2024-01-01T08:47:53.676, level='ERROR', service='com.example.PaymentService', message='Authentication failed - user: user_6506'}
LogEntry{timestamp=2024-01-02T17:39:48.361, level='ERROR', service='com.example.OrderService', message='Authentication failed - user: user_6651'}
LogEntry{timestamp=2024-01-02T17:57:36.644, level='ERROR', service='com.example.OrderService', message='Authentication failed - user: user_5271'}
LogEntry{timestamp=2024-01-05T10:56:31.740, level='ERROR', service='com.example.NotificationService', message='Authentication failed - user: user_6688'}
LogEntry{timestamp=2024-01-05T06:50:55.508, level='ERROR', service='com.example.InventoryService', message='Authentication failed - user: user_3772'}
LogEntry{timestamp=2024-01-01T22:47:52.179, level='ERROR', service='com.example.CustomerService', message='Authentication failed - user: user_5667'}
LogEntry{timestamp=2024-01-03T00:48:09.943, level='ERROR', service='com.example.ReportService', message='Authentication failed - user: user_7949'}
LogEntry{timestamp=2024-01-01T17:57:59.368, level='ERROR', service='com.example.DatabaseService', message='Authentication failed - user: user_9834'}
LogEntry{timestamp=2024-01-01T04:41:39.972, level='ERROR', service='com.example.PaymentService', message='Authentication failed - user: user_1136'}
LogEntry{timestamp=2024-01-04T04:03:54.785, level='ERROR', service='com.example.NotificationService', message='Authentication failed - user: user_7711'}
LogEntry{timestamp=2024-01-03T03:45:30.480, level='ERROR', service='com.example.InventoryService', message='Authentication failed - user: user_1795'}
LogEntry{timestamp=2024-01-05T01:40:42.261, level='ERROR', service='com.example.DatabaseService', message='Authentication failed - user: user_3400'}
LogEntry{timestamp=2024-01-06T12:19:00.540, level='ERROR', service='com.example.InventoryService', message='Authentication failed - user: user_2333'}
LogEntry{timestamp=2024-01-01T21:10:43.024, level='ERROR', service='com.example.CustomerService', message='Authentication failed - user: user_8451'}
LogEntry{timestamp=2024-01-06T05:01:32.862, level='ERROR', service='com.example.InventoryService', message='Authentication failed - user: user_1119'}
LogEntry{timestamp=2024-01-01T12:58:44.214, level='ERROR', service='com.example.AuthService', message='Authentication failed - user: user_9239'}
LogEntry{timestamp=2024-01-05T17:07:59.860, level='ERROR', service='com.example.InventoryService', message='Authentication failed - user: user_7359'}
LogEntry{timestamp=2024-01-07T10:35:35.160, level='ERROR', service='com.example.AuthService', message='Authentication failed - user: user_5951'}
LogEntry{timestamp=2024-01-04T22:01:59.378, level='ERROR', service='com.example.DatabaseService', message='Authentication failed - user: user_6461'}
LogEntry{timestamp=2024-01-06T21:42:20.900, level='ERROR', service='com.example.InventoryService', message='Authentication failed - user: user_3035'}
LogEntry{timestamp=2024-01-06T22:28:47.688, level='ERROR', service='com.example.NotificationService', message='Authentication failed - user: user_7789'}
LogEntry{timestamp=2024-01-06T04:57:15.653, level='ERROR', service='com.example.DatabaseService', message='Authentication failed - user: user_6040'}
LogEntry{timestamp=2024-01-02T14:59:38.700, level='ERROR', service='com.example.CustomerService', message='Authentication failed - user: user_9708'}
LogEntry{timestamp=2024-01-04T14:37:18.165, level='ERROR', service='com.example.ReportService', message='Authentication failed - user: user_8193'}
LogEntry{timestamp=2024-01-06T23:27:49.777, level='ERROR', service='com.example.ShippingService', message='Authentication failed - user: user_3572'}
LogEntry{timestamp=2024-01-04T08:57:49.880, level='ERROR', service='com.example.NotificationService', message='Authentication failed - user: user_6974'}
LogEntry{timestamp=2024-01-06T02:56:34.304, level='ERROR', service='com.example.DatabaseService', message='Authentication failed - user: user_1070'}
LogEntry{timestamp=2024-01-03T00:54:55.810, level='ERROR', service='com.example.DatabaseService', message='Authentication failed - user: user_5777'}
LogEntry{timestamp=2024-01-04T13:39:27.005, level='ERROR', service='com.example.PaymentService', message='Authentication failed - user: user_6735'}
LogEntry{timestamp=2024-01-01T22:31:17.864, level='ERROR', service='com.example.InventoryService', message='Authentication failed - user: user_7846'}
LogEntry{timestamp=2024-01-06T10:27:46.274, level='ERROR', service='com.example.NotificationService', message='Authentication failed - user: user_9358'}
LogEntry{timestamp=2024-01-05T07:51:02.492, level='ERROR', service='com.example.NotificationService', message='Authentication failed - user: user_7569'}
LogEntry{timestamp=2024-01-01T12:39:15.985, level='ERROR', service='com.example.OrderService', message='Authentication failed - user: user_8070'}
LogEntry{timestamp=2024-01-02T05:46:05.514, level='ERROR', service='com.example.PaymentService', message='Authentication failed - user: user_2374'}
LogEntry{timestamp=2024-01-04T06:13:13.870, level='ERROR', service='com.example.OrderService', message='Authentication failed - user: user_7533'}
LogEntry{timestamp=2024-01-08T02:12:42.540, level='ERROR', service='com.example.DatabaseService', message='Authentication failed - user: user_2521'}
LogEntry{timestamp=2024-01-01T21:53:57.330, level='ERROR', service='com.example.ReportService', message='Authentication failed - user: user_6253'}
LogEntry{timestamp=2024-01-06T20:20:14.738, level='ERROR', service='com.example.UserService', message='Authentication failed - user: user_6782'}
LogEntry{timestamp=2024-01-03T13:28:38.836, level='ERROR', service='com.example.UserService', message='Authentication failed - user: user_3937'}
LogEntry{timestamp=2024-01-06T12:02:03.768, level='ERROR', service='com.example.UserService', message='Authentication failed - user: user_7547'}
LogEntry{timestamp=2024-01-02T15:47:26.422, level='ERROR', service='com.example.InventoryService', message='Authentication failed - user: user_2148'}
LogEntry{timestamp=2024-01-02T23:58:48.880, level='ERROR', service='com.example.OrderService', message='Authentication failed - user: user_3692'}
LogEntry{timestamp=2024-01-03T23:35:38.382, level='ERROR', service='com.example.OrderService', message='Authentication failed - user: user_9831'}
LogEntry{timestamp=2024-01-03T20:24:46.404, level='ERROR', service='com.example.ReportService', message='Authentication failed - user: user_7669'}
LogEntry{timestamp=2024-01-05T14:33:02.340, level='ERROR', service='com.example.InventoryService', message='Authentication failed - user: user_7090'}
LogEntry{timestamp=2024-01-03T10:01:49.260, level='ERROR', service='com.example.CustomerService', message='Authentication failed - user: user_2185'}
LogEntry{timestamp=2024-01-04T10:08:56.175, level='ERROR', service='com.example.ShippingService', message='Authentication failed - user: user_1939'}
LogEntry{timestamp=2024-01-01T21:33:53.142, level='ERROR', service='com.example.InventoryService', message='Authentication failed - user: user_9540'}
LogEntry{timestamp=2024-01-07T14:31:53.682, level='ERROR', service='com.example.PaymentService', message='Authentication failed - user: user_3837'}
LogEntry{timestamp=2024-01-06T01:19:47.552, level='ERROR', service='com.example.ReportService', message='Authentication failed - user: user_5035'}
LogEntry{timestamp=2024-01-05T02:01:59.952, level='ERROR', service='com.example.NotificationService', message='Authentication failed - user: user_2139'}
LogEntry{timestamp=2024-01-06T11:36:13.060, level='ERROR', service='com.example.ShippingService', message='Authentication failed - user: user_4818'}
LogEntry{timestamp=2024-01-03T18:05:13.962, level='ERROR', service='com.example.NotificationService', message='Authentication failed - user: user_3467'}
LogEntry{timestamp=2024-01-01T15:07:25.807, level='ERROR', service='com.example.UserService', message='Authentication failed - user: user_7324'}
LogEntry{timestamp=2024-01-07T11:34:20.616, level='ERROR', service='com.example.ShippingService', message='Authentication failed - user: user_4083'}
LogEntry{timestamp=2024-01-03T23:26:32.810, level='ERROR', service='com.example.CustomerService', message='Authentication failed - user: user_7287'}
LogEntry{timestamp=2024-01-03T22:55:41.205, level='ERROR', service='com.example.ShippingService', message='Authentication failed - user: user_7906'}
LogEntry{timestamp=2024-01-06T20:10:19.180, level='ERROR', service='com.example.InventoryService', message='Authentication failed - user: user_1287'}
LogEntry{timestamp=2024-01-08T21:41:38.058, level='ERROR', service='com.example.CustomerService', message='Authentication failed - user: user_4030'}
LogEntry{timestamp=2024-01-04T05:27:42.300, level='ERROR', service='com.example.AuthService', message='Authentication failed - user: user_2039'}
LogEntry{timestamp=2024-01-02T18:06:45.860, level='ERROR', service='com.example.OrderService', message='Authentication failed - user: user_7701'}
LogEntry{timestamp=2024-01-02T21:24:40.275, level='ERROR', service='com.example.OrderService', message='Authentication failed - user: user_2852'}
LogEntry{timestamp=2024-01-01T23:40:44.887, level='ERROR', service='com.example.ShippingService', message='Authentication failed - user: user_4400'}
LogEntry{timestamp=2024-01-07T04:06:45.774, level='ERROR', service='com.example.ShippingService', message='Authentication failed - user: user_3932'}
LogEntry{timestamp=2024-01-04T10:05:19.950, level='ERROR', service='com.example.CustomerService', message='Authentication failed - user: user_7300'}
LogEntry{timestamp=2024-01-03T21:10:57.510, level='ERROR', service='com.example.PaymentService', message='Authentication failed - user: user_1575'}
LogEntry{timestamp=2024-01-01T12:48:53.263, level='ERROR', service='com.example.ReportService', message='Authentication failed - user: user_5205'}
